entry,stock_price,avg_spread_percentage,median_spread_percentage,valid_options,avg_options_per_expiration,expirations_count
DIA,427.99,0.011660263535307344,0.009346012757307414,6.0,6.0,3
JPM,266.02,0.014169673610121045,0.011277347567852041,14.333333333333334,14.333333333333334,6
TSLA,294.145,0.017707545117495994,0.013598735317615462,6.666666666666667,6.666666666666667,6
WFC,76.175,0.018706924844108963,0.013127666557269446,7.5,7.5,4
C,78.33,0.01991574109536576,0.012766500702157539,7.8,7.8,5
HD,366.265,0.05507861675349103,0.04914474492512252,11.8,11.8,5
WMT,97.65,0.059390773843455334,0.02048131080389145,10.0,10.0,6
ZS,303.945,0.10557883775077676,0.1003471022717926,8.0,8.0,4
SPOT,703.45,0.1101002203425972,0.09169095173786339,9.0,9.0,4
OKTA,102.15,0.13890463699567956,0.09789525208027411,8.0,8.0,5
TXN,198.225,0.17373302276821004,0.06053726825576996,9.0,9.0,3
HIMS,55.655,0.25209161315530915,0.10780702542449017,17.5,17.5,6
RGTI,11.525,0.284693253239891,0.1735357917570499,9.4,9.4,5
OKLO,52.15,0.2971913597653827,0.28763183125599234,11.2,11.2,5
